hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews,room_Hotel room,room_Private room,room_Shared room,nbhd_Bourse,nbhd_Buttes-Chaumont,nbhd_Buttes-Montmartre,nbhd_Entrepôt,nbhd_Gobelins,nbhd_Hôtel-de-Ville,nbhd_Louvre,nbhd_Luxembourg,nbhd_Ménilmontant,nbhd_Observatoire,nbhd_Opéra,nbhd_Palais-Bourbon,nbhd_Panthéon,nbhd_Passy,nbhd_Popincourt,nbhd_Reuilly,nbhd_Temple,nbhd_Vaugirard,nbhd_Élysée,amenity_count,has_wifi,has_kitchen,has_ac
10.0,8.0,3.0,0.0,1.0,2.0,1.0,1.0,48.89400515546623,2.3315351209014734,0.5,0.5,0.0,0.0,-0.3333333333333333,-0.38686131386861317,1,1,100,100,1.0,100.0,1.0,12,17,17,-0.8193832599118943,3.3488372093023258,37,6,17,36,255,36720.0,4.91,4.93,4.81,4.96,4.99,4.88,4.8,0.0,1,1,0,0,2.530612244897959,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.8421052631578947,True,True,False
2.0,0.0,1.0,11.0,1.0,4.0,1.0,1.0,48.82015,2.36056,0.5,0.0,0.0,0.0,0.0,1.1094890510948905,2,4,1125,1125,2.0,1125.0,1.0,4,18,43,-0.06607929515418502,0.11627906976744186,19,4,122,7,198,30108.0,5.0,5.0,5.0,4.95,4.95,4.95,5.0,0.0,4,4,0,0,1.1564625850340136,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1578947368421053,True,True,False
11.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,48.88474859999999,2.3408507,-0.5,0.0,0.0,-1.0,-0.3333333333333333,1.1094890510948905,1,5,1125,1125,2.7,1125.0,1.0,10,38,54,-0.4889867841409692,-0.16279069767441862,7,7,54,0,73,16206.0,4.71,4.83,4.67,5.0,5.0,4.83,4.83,0.0,1,1,0,0,4.333333333333333,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05263157894736842,True,True,False
1.0,7.0,1.0,7.0,1.0,13.0,1.0,1.0,48.89519,2.33869,-0.5,0.0,0.0,-1.0,-0.3333333333333333,-0.491970802919708,1,2,28,28,2.0,28.0,1.0,6,30,60,0.29515418502202645,-0.09302325581395349,8,1,165,9,83,14276.0,4.7,4.8,4.8,5.0,5.0,4.5,4.6,0.0,11,11,0,0,0.08843537414965985,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10526315789473684,True,True,False
2.0,9.0,1.0,11.0,0.0,1.0,1.0,1.0,48.85199721513364,2.2667464120087595,-0.5,0.0,0.0,-1.0,9.666666666666666,1.1094890510948905,31,31,1125,1125,31.0,1125.0,1.0,30,60,90,0.6916299559471366,-0.32558139534883723,0,0,196,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,-0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1.3157894736842106,True,True,False
12.0,2.0,12.0,1.0,0.0,1.0,1.0,1.0,48.8818,2.32451,-0.5,0.0,0.0,-1.0,0.3333333333333333,-0.48905109489051096,3,4,30,30,4.0,30.0,1.0,3,33,46,-0.6651982378854625,0.16279069767441862,4,0,52,12,42,8925.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1,1,0,0,0.15646258503401358,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.05263157894736842,True,True,False
12.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,48.87245,2.3899,0.5,0.0,1.0,-1.0,0.6666666666666666,-0.48905109489051096,4,4,30,30,4.0,30.0,1.0,2,17,20,-0.7400881057268722,0.5116279069767442,4,0,35,5,42,5345.0,4.67,4.75,4.47,4.81,4.89,4.78,4.72,0.0,1,1,0,0,-0.24489795918367344,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8947368421052632,True,True,True
1.0,9.0,1.0,9.0,1.0,87.0,1.0,1.0,48.88823,2.34647,-0.5,0.0,0.0,-1.0,0.0,-0.48905109489051096,2,4,30,30,2.9,30.0,1.0,18,48,53,-0.6607929515418502,-0.23255813953488372,4,3,53,0,42,6153.0,4.25,4.75,5.0,4.75,4.5,4.5,4.5,0.0,78,78,0,0,2.1224489795918364,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6842105263157895,True,True,False
10.0,5.0,10.0,5.0,0.0,1.0,1.0,1.0,48.86727,2.34798,-0.5,0.0,0.0,-1.0,1.3333333333333333,1.1094890510948905,6,6,1125,1125,6.0,1125.0,1.0,0,0,0,-0.3039647577092511,1.255813953488372,0,0,61,0,0,0.0,4.96,4.99,4.94,4.97,4.97,4.99,4.9,0.0,1,1,0,0,-0.054421768707482956,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.2631578947368421,True,True,False
11.0,10.0,2.0,1.0,0.0,1.0,1.0,1.0,48.8482024,2.2659663,0.5,0.0,0.0,0.0,-0.3333333333333333,-0.1386861313868613,1,1,270,270,1.0,270.0,1.0,18,48,78,0.6607929515418502,-0.2558139534883721,1,1,183,0,10,1640.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1,1,0,0,-0.346938775510204,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2631578947368421,True,True,False
